,doc,subtopic,topic
3413,Downing Street,Downing Street mortar attack,Terrorist Attack
3414,Lob bomb,Downing Street mortar attack,Terrorist Attack
3415,Whitehall,Downing Street mortar attack,Terrorist Attack
3416,Horse Guards Avenue,Downing Street mortar attack,Terrorist Attack
3417,Heathrow mortar attacks,Downing Street mortar attack,Terrorist Attack
3418,John Major,Downing Street mortar attack,Terrorist Attack
3419,1996 Docklands bombing,Downing Street mortar attack,Terrorist Attack
3420,United Kingdom,Operation Hurricane,Weapons Test
3421,Ernest Titterton,Operation Hurricane,Weapons Test
3422,No. 82 Wing RAAF,Operation Hurricane,Weapons Test
3423,WAPET,Operation Hurricane,Weapons Test
3424,Blue Danube (nuclear weapon),Operation Hurricane,Weapons Test
3425,Reg Pollard (general),Operation Hurricane,Weapons Test
3426,HMAS Murchison (K442),Operation Hurricane,Weapons Test
3427,Gerboise Bleue,Operation Hurricane,Weapons Test
3428,British nuclear tests at Maralinga,Operation Hurricane,Weapons Test
3429,Alan McNicoll,Operation Hurricane,Weapons Test
3431,No. 86 Wing RAAF,Operation Hurricane,Weapons Test
3432,HMAS Hawkesbury (K363),Operation Hurricane,Weapons Test
3433,William Hely,Operation Hurricane,Weapons Test
3434,"Halstead, Kent",Operation Hurricane,Weapons Test
3435,RFA Wave Ruler (A212),Operation Hurricane,Weapons Test
3436,Clement Attlee,Operation Hurricane,Weapons Test
3437,North West England,Operation Hurricane,Weapons Test
3438,Wordsworth House,2009 Great Britain and Ireland floods,Flood
3439,Mike Bewick,2009 Great Britain and Ireland floods,Flood
3440,Flood Forecasting Centre (UK),2009 Great Britain and Ireland floods,Flood
3441,"Salta, Cumbria",2009 Great Britain and Ireland floods,Flood
3442,A595 road,2009 Great Britain and Ireland floods,Flood
3443,Edenside,2009 Great Britain and Ireland floods,Flood
3444,Storm Desmond,2009 Great Britain and Ireland floods,Flood
3445,"River Cocker, Cumbria",2009 Great Britain and Ireland floods,Flood
3446,"St Peter's Church, Camerton",2009 Great Britain and Ireland floods,Flood
3447,Backbarrow,2009 Great Britain and Ireland floods,Flood
3448,Brian Lenihan Jnr,2009 Great Britain and Ireland floods,Flood
3449,2015–16 Great Britain and Ireland floods,2009 Great Britain and Ireland floods,Flood
3450,Fayaz Kagzi,2012 Pune bombings,Terrorist Attack
3451,San Antonio River Walk,September 1921 San Antonio floods,Flood
3452,1921 Atlantic hurricane season,September 1921 San Antonio floods,Flood
3453,Hurricane Alice (June 1954),September 1921 San Antonio floods,Flood
3454,Aitarak,Liquiçá Church massacre,Civilian Attack
3455,Pro-Indonesia militia,Liquiçá Church massacre,Civilian Attack
3456,Indonesian occupation of East Timor,Liquiçá Church massacre,Civilian Attack
3457,2017–18 Georgetown Hoyas men's basketball team,2017 Northeast Conference Men's Basketball Tournament,Concert
3458,2017–18 Wagner Seahawks men's basketball team,2017 Northeast Conference Men's Basketball Tournament,Concert
3459,2017–18 Bryant Bulldogs men's basketball team,2017 Northeast Conference Men's Basketball Tournament,Concert
3460,2017–18 Fairleigh Dickinson Knights men's basketball team,2017 Northeast Conference Men's Basketball Tournament,Concert
3461,2017–18 Central Connecticut Blue Devils men's basketball team,2017 Northeast Conference Men's Basketball Tournament,Concert
3462,Eric Kent,Queen Elizabeth II Silver Jubilee Medal,Awards
3463,Atom Heart Mother (film),65th Berlin International Film Festival,Festival
3464,Queen of the Desert (film),65th Berlin International Film Festival,Festival
3465,Brain on Fire (film),65th Berlin International Film Festival,Festival
3466,Mr. Holmes,65th Berlin International Film Festival,Festival
3467,Knight of Cups (film),65th Berlin International Film Festival,Festival
3468,History of the Israeli–Palestinian conflict,Ma'ale Akrabim massacre,Civilian Attack
3469,'Azazme,Ma'ale Akrabim massacre,Civilian Attack
3470,Reprisal operations,Ma'ale Akrabim massacre,Civilian Attack
3471,Palestinian return to Israel,Ma'ale Akrabim massacre,Civilian Attack
3472,Black Hand (Mandatory Palestine),Ma'ale Akrabim massacre,Civilian Attack
3473,Xzibit,2004 MTV Europe Music Awards,Awards
3474,Dangerously in Love,2004 MTV Europe Music Awards,Awards
3475,Tiziano Ferro,2004 MTV Europe Music Awards,Awards
3476,Heard 'Em Say,2004 MTV Europe Music Awards,Awards
3477,Abdul Hakim Murad (militant),Philippine Airlines Flight 434,Airliner Accident
3478,Philippine Airlines,Philippine Airlines Flight 434,Airliner Accident
3479,Airport security,Philippine Airlines Flight 434,Airliner Accident
3480,Bojinka plot,Philippine Airlines Flight 434,Airliner Accident
3481,Ramzi Yousef,Philippine Airlines Flight 434,Airliner Accident
3482,Khalid Sheikh Mohammed,Philippine Airlines Flight 434,Airliner Accident
3483,Aida Fariscal,Philippine Airlines Flight 434,Airliner Accident
3484,Garret Graves,2016 Louisiana floods,Flood
3485,Hurricane Matthew,2016 Louisiana floods,Flood
3486,Live Oak High School (Louisiana),2016 Louisiana floods,Flood
3487,Denham Springs High School,2016 Louisiana floods,Flood
3489,WLRO,2016 Louisiana floods,Flood
3490,Vermilion River (Louisiana),2016 Louisiana floods,Flood
3491,Victoria Principal,2016 Louisiana floods,Flood
3492,One Man Gang,2016 Louisiana floods,Flood
3493,"Baton Rouge, Louisiana",2016 Louisiana floods,Flood
3494,Louisiana,2016 Louisiana floods,Flood
3495,Louisiana Correctional Institute for Women,2016 Louisiana floods,Flood
3497,"Tangipahoa Parish, Louisiana",2016 Louisiana floods,Flood
3498,Shapsugs,Circassian genocide,Civilian Attack
3499,Dmitry Milyutin,Circassian genocide,Civilian Attack
3500,Anti-Russian sentiment,Circassian genocide,Civilian Attack
3501,Armenians in Abkhazia,Circassian genocide,Civilian Attack
3502,House of Kuadzhe,Circassian genocide,Civilian Attack
3503,Ubykhia,Circassian genocide,Civilian Attack
3504,Abzakhs,Circassian genocide,Civilian Attack
3505,Krasnodar Krai,Circassian genocide,Civilian Attack
3506,Circassian beauties,Circassian genocide,Civilian Attack
3508,Occupation of Constantinople,Circassian genocide,Civilian Attack
3509,Circassians in Israel,Circassian genocide,Civilian Attack
3510,Gansu,1920 Haiyuan earthquake,Earthquake
3511,1927 Gulang earthquake,1920 Haiyuan earthquake,Earthquake
3512,Zhongwei-Tongxin fault,1920 Haiyuan earthquake,Earthquake
3513,Haiyuan County,1920 Haiyuan earthquake,Earthquake
3514,Ningxia,1920 Haiyuan earthquake,Earthquake
3515,Geology of China,1920 Haiyuan earthquake,Earthquake
3516,Red Moon (2001 film),58th Venice International Film Festival,Festival
3517,Éric Rohmer,58th Venice International Film Festival,Festival
3518,Probably Love,58th Venice International Film Festival,Festival
3519,Sandra Ceccarelli,58th Venice International Film Festival,Festival
3520,Vera Farmiga,58th Venice International Film Festival,Festival
3521,One Man Up,58th Venice International Film Festival,Festival
3522,Light of My Eyes,58th Venice International Film Festival,Festival
3523,Liège,1985 Liège bombing,Terrorist Attack
3524,Anthony Miles (Australian footballer),2015 Brownlow Medal,Awards
3525,Fremantle Football Club,2015 Brownlow Medal,Awards
3527,Neighborhoods (Blink-182 album),20th Anniversary Tour (Blink-182),Concert
3529,The Blackout (band),20th Anniversary Tour (Blink-182),Concert
3530,The All-American Rejects,20th Anniversary Tour (Blink-182),Concert
3531,USS Philippine Sea (CV-47),1954 Cathay Pacific Douglas DC-4 shootdown,Airliner Accident
3532,The Blackwood Brothers,15th Annual Grammy Awards,Awards
3533,The Candy Man,15th Annual Grammy Awards,Awards
3534,Six O'Clock,15th Annual Grammy Awards,Awards
3535,Photograph (Ringo Starr song),15th Annual Grammy Awards,Awards
3536,Little David Records,15th Annual Grammy Awards,Awards
3537,Live Concert at the Forum,15th Annual Grammy Awards,Awards
3538,London Parris,15th Annual Grammy Awards,Awards
3539,Castlevania: Harmony of Despair,E3 2010,Awards
3540,Retro Studios,E3 2010,Awards
3541,Carla Abellana,Binibining Pilipinas 2010,Beauty Pageant
3542,Dianne Necio,Binibining Pilipinas 2010,Beauty Pageant
3543,Holiday Airlines,Birgenair Flight 301,Airliner Accident
3544,Birgenair,Birgenair Flight 301,Airliner Accident
3545,Alas Nacionales,Birgenair Flight 301,Airliner Accident
3546,American Airlines Flight 965,Birgenair Flight 301,Airliner Accident
3547,Dynamic Airways Flight 405,Birgenair Flight 301,Airliner Accident
3548,Slave & Otis,2002 TV Guide NZ Television Awards,Awards
3549,Stacey Morrison,2002 TV Guide NZ Television Awards,Awards
3550,Mike King (advocate),2002 TV Guide NZ Television Awards,Awards
3551,Claudette Hauiti,2002 TV Guide NZ Television Awards,Awards
3552,2014 PBA Commissioner's Cup Finals,2013–14 PBA Philippine Cup,News Event
3553,Pido Jarencio,2013–14 PBA Philippine Cup,News Event
3554,"Parnassus, New Zealand",1901 Cheviot earthquake,Earthquake
3555,Southern New Hampshire University,New England Collegiate Conference (Division II),Meetings
3556,Stan Spirou Field House,New England Collegiate Conference (Division II),Meetings
3557,Tyus Battle,New England Collegiate Conference (Division II),Meetings
3558,Kelly Kelly,2012 Kids' Choice Awards,Awards
3559,Sparks Fly (song),2012 Kids' Choice Awards,Awards
3560,Party Rock Anthem,2012 Kids' Choice Awards,Awards
3561,CeeLo Green,2012 Kids' Choice Awards,Awards
3562,What Makes You Beautiful,2012 Kids' Choice Awards,Awards
3563,Bill Owens (Colorado politician),Hayman Fire,Wildfire
3564,Gregory L. Moore,Hayman Fire,Wildfire
3565,2012 Colorado wildfires,Hayman Fire,Wildfire
3566,Pike National Forest,Hayman Fire,Wildfire
3567,La Florida Airport (Chile),Aeronor Flight 304,Airliner Accident
3568,Silvia Pinto,Aeronor Flight 304,Airliner Accident
3569,Goran Radosavljević,Ćuška massacre,Civilian Attack
3570,Ćuška,Ćuška massacre,Civilian Attack
3571,Spirits Having Flown,American Music Awards of 1980,Awards
3572,Bad Girls (Donna Summer song),American Music Awards of 1980,Awards
3573,Bad Girls (Donna Summer album),American Music Awards of 1980,Awards
3575,In Through the Out Door,American Music Awards of 1980,Awards
3576,Cyclone Xynthia,2010 Var floods,Flood
3577,Alberta Watson,18th Genie Awards,Awards
3578,Wham!,The Final (concert),Concert
3579,The Big Tour,The Final (concert),Concert
3580,Wham! in China: Foreign Skies,The Final (concert),Concert
3582,Infrared homing,1948 Lake Mead Boeing B-29 crash,Airliner Accident
3583,Young Artist Award for Best Leading Young Actress in a Feature Film,15th Youth in Film Awards,Awards
3584,Dennis the Menace (film),15th Youth in Film Awards,Awards
3585,Young Artist Award for Best Leading Young Actor in a Feature Film,15th Youth in Film Awards,Awards
3586,Francesca Marie Smith,15th Youth in Film Awards,Awards
3587,Asif Ali Zardari,Singapore Airlines Flight 117,Airliner Accident
3588,Stephen Fumio Hamao,Japan Airlines Flight 351,Airliner Accident
3589,North Korean abductions of Japanese citizens,Japan Airlines Flight 351,Airliner Accident
3590,Japan Airlines Flight 446,Japan Airlines Flight 351,Airliner Accident
3591,Japanese people in North Korea,Japan Airlines Flight 351,Airliner Accident
3592,Korean conflict,Japan Airlines Flight 351,Airliner Accident
3593,Les Rallizes Dénudés,Japan Airlines Flight 351,Airliner Accident
3594,Teresita Marquez,Miss World Philippines 2017,Beauty Pageant
3595,Janela Joy Cuaton,Miss World Philippines 2017,Beauty Pageant
3596,Miss World Philippines 2018,Miss World Philippines 2017,Beauty Pageant
3597,Ann Li,Miss World Philippines 2017,Beauty Pageant
3598,Past and Present (book),Peterloo Massacre,Civilian Attack
3599,Yorkshire West Riding Revolt of 1820,Peterloo Massacre,Civilian Attack
3600,Architecture of Manchester,Peterloo Massacre,Civilian Attack
3601,Malcolm Arnold,Peterloo Massacre,Civilian Attack
3602,Maxine Peake,Peterloo Massacre,Civilian Attack
3603,Bloody Men,Peterloo Massacre,Civilian Attack
3604,John Marshall (Newcastle publisher and printer),Peterloo Massacre,Civilian Attack
3605,Six Acts,Peterloo Massacre,Civilian Attack
3606,Hulton Colliery Company,Peterloo Massacre,Civilian Attack
3607,Glossop,Peterloo Massacre,Civilian Attack
3608,LeVert,1989 Soul Train Music Awards,Awards
3609,Whitney (2015 film),1989 Soul Train Music Awards,Awards
3610,Whitney Houston,1989 Soul Train Music Awards,Awards
3611,The Lemon Song,Led Zeppelin North American Tour Spring 1969,Concert
3613,Heartbreaker (Led Zeppelin song),Led Zeppelin North American Tour Spring 1969,Concert
3614,Ramble On,Led Zeppelin North American Tour Spring 1969,Concert
3615,Dylan Larkin,2015 Big Ten Men's Ice Hockey Tournament,Concert
3616,Adam Wilcox (ice hockey),2015 Big Ten Men's Ice Hockey Tournament,Concert
3617,Neeraj Kumar (police officer),2002 attack on American cultural centre in Kolkata,Terrorist Attack
3618,National Security Intelligence,2002 attack on American cultural centre in Kolkata,Terrorist Attack
3619,Clark International Airport,2019 Luzon earthquake,Earthquake
3620,SM City Clark,2019 Luzon earthquake,Earthquake
3621,Castillejos,2019 Luzon earthquake,Earthquake
3622,Pampanga,2019 Luzon earthquake,Earthquake
3623,Santa Catalina de Alejandria Church (Porac),2019 Luzon earthquake,Earthquake
3624,New Clark City Sports Hub,2019 Luzon earthquake,Earthquake
3625,Canada–Philippines waste dispute,2019 Luzon earthquake,Earthquake
3626,Francesco Totti,2007 Ballon d'Or,Awards
3627,Ronaldo–Messi rivalry,2007 Ballon d'Or,Awards
3628,Andrea Pirlo,2007 Ballon d'Or,Awards
3629,Younis Mahmoud,2007 Ballon d'Or,Awards
3630,Lionel Messi,2007 Ballon d'Or,Awards
3631,Eric Whitacre,Eurovision Choir of the Year 2017,Contest
3632,Denmark in Eurovision Choir,Eurovision Choir of the Year 2017,Contest
3633,Austria in Eurovision Choir,Eurovision Choir of the Year 2017,Contest
3634,Germany in Eurovision Choir,Eurovision Choir of the Year 2017,Contest
3635,Slovenia in Eurovision Choir,Eurovision Choir of the Year 2017,Contest
3636,Tom Doedee,2018 AFL Rising Star,Awards
3637,Ben Long (footballer),2018 AFL Rising Star,Awards
3638,Adam Cerra,2018 AFL Rising Star,Awards
3639,Riley Bonner,2018 AFL Rising Star,Awards
3640,Hunter Clark,2018 AFL Rising Star,Awards
3641,Nathan Murphy (Australian footballer),2018 AFL Rising Star,Awards
3642,Jaidyn Stephenson,2018 AFL Rising Star,Awards
3643,"Jack Graham (Australian footballer, born 1998)",2018 AFL Rising Star,Awards
3644,Jack Higgins (Australian footballer),2018 AFL Rising Star,Awards
3645,Aaron Naughton,2018 AFL Rising Star,Awards
3646,Ben Ronke,2018 AFL Rising Star,Awards
3647,Rumors (Lindsay Lohan song),2005 MTV Video Music Awards,Awards
3648,Boulevard of Broken Dreams (Green Day song),2005 MTV Video Music Awards,Awards
3649,Barrio Fino,2005 MTV Video Music Awards,Awards
3650,Beverly Hills (song),2005 MTV Video Music Awards,Awards
3651,The Emancipation of Mimi,2005 MTV Video Music Awards,Awards
3652,We Belong Together,2005 MTV Video Music Awards,Awards
3653,Heard 'Em Say,2005 MTV Video Music Awards,Awards
3654,Adam Koch,2009 Missouri Valley Conference Men's Basketball Tournament,Concert
3655,2009–10 Missouri Valley Conference men's basketball season,2009 Missouri Valley Conference Men's Basketball Tournament,Concert
3656,Meu Pé de Laranja Lima,Zlín Film Festival,Festival
3657,Half Ticket (2016 film),Zlín Film Festival,Festival
3658,La Vie en rose (film),57th Berlin International Film Festival,Festival
3659,Away from Her,57th Berlin International Film Festival,Festival
3660,Klopka,57th Berlin International Film Festival,Festival
3661,Zhang Lü,57th Berlin International Film Festival,Festival
3662,Helmut Berger,57th Berlin International Film Festival,Festival
3663,Lee Hae-jun,57th Berlin International Film Festival,Festival
3664,Johannes Guter,57th Berlin International Film Festival,Festival
3665,2018–19 Pepperdine Waves men's basketball team,2019 West Coast Conference Men's Basketball Tournament,Concert
3666,2018–19 West Coast Conference men's basketball season,2019 West Coast Conference Men's Basketball Tournament,Concert
3667,2018–19 Pacific Tigers men's basketball team,2019 West Coast Conference Men's Basketball Tournament,Concert
3668,2019–20 Gonzaga Bulldogs men's basketball team,2019 West Coast Conference Men's Basketball Tournament,Concert
3669,2018–19 Portland Pilots men's basketball team,2019 West Coast Conference Men's Basketball Tournament,Concert
